Outlet_ID,Outlet_Size,Cooler_Count,Outlet_Type,Latitude,Longitude,Maximum_Monthly_Liters,Avg_Monthly_Volume,Distributor_ID,geometry,Competitor_Density,Decay_POI_Score,Adjusted_Cost_Per_Liter,Latent_Volume,Total_Investment_Cost,Selected
OUT_02351,Extra Large,5,Eatery,6.908025,79.851694,5780.090495494011,1327.9892677896025,DIST_W_01,POINT (373135.4481120253 763734.2893962156),13.0,21.26609664089047,31.437930558268047,4452.101227704408,139964.8492349511,1.0
OUT_02523,Medium,2,Hotel,6.89811,79.858014,3594.025129514586,138.491636569186,DIST_W_02,POINT (373831.14419133984 762636.3331929474),15.0,18.97230931396524,40.05545815578852,3455.5334929453998,138412.9772326002,1.0
OUT_02667,Small,0,SMMT,6.86932,79.888044,3594.025129514586,32.10194722581303,DIST_W_01,POINT (377141.92510160786 759445.288124584),13.0,17.097475785271378,38.67942735802386,3561.9231822887728,137773.14898419977,1.0
OUT_03212,Small,0,Pharmacy,6.876461,79.872074,3594.025129514586,42.3138947025174,DIST_W_02,POINT (375379.06661939196 760238.9725445241),6.0,12.774620647712906,25.409048201854684,3551.7112348120686,90245.60196440868,1.0
OUT_03370,Medium,1,Eatery,6.8844,79.861524,3594.025129514586,135.6577709674294,DIST_W_02,POINT (374215.371333387 761119.5274529099),10.0,15.08304534017128,34.197503542829814,3458.3673585471565,118267.52999632337,1.0
OUT_03556,Extra Large,2,Hotel,6.932287,79.845651,7289.907007036006,1298.3942973901449,DIST_W_03,POINT (372474.24373354134 766418.5065341967),10.0,15.1554004028322,34.04434345703865,5991.512709645861,203977.11651439598,1.0
OUT_03705,Small,1,SMMT,6.921014,79.85767,3594.025129514586,53.47591705105303,DIST_W_01,POINT (373799.2084061205 765168.8643743335),13.0,22.155700678437952,30.230136834158667,3540.549212463533,107031.28716084531,1.0
OUT_03809,small,1,Pharmacy,6.905961,79.851089,3594.025129514586,47.106715951406734,DIST_W_03,POINT (373068.04871409666 763506.2386005592),14.0,18.561819030260306,38.339992760377754,3546.918413563179,135988.82629766283,1.0
OUT_03891,Medium,1,Kiosk,6.892426,79.863267,3594.025129514586,115.81898442700086,DIST_W_01,POINT (374410.0834633558 762006.4820805881),14.0,17.396007913743258,40.769715011901646,3478.206145087585,141805.47328786587,1.0
OUT_03932,Medium,2,Eatery,6.874045,79.867759,3594.025129514586,132.9441649473587,DIST_W_03,POINT (374901.62349945307 759972.9686553902),7.0,12.378000127252497,29.89983526649509,3461.080964567227,103485.75068456201,1.0
OUT_04708,Small,1,Bakery,6.916987,79.867787,3594.025129514586,45.29635696407303,DIST_W_01,POINT (374915.9834638791 764720.9359917712),17.0,24.758606432221544,34.9397783753622,3548.728772550513,123991.79682718606,1.0
OUT_04817,Small,1,Pharmacy,6.888933,79.869396,3594.025129514586,49.40809422007252,DIST_W_03,POINT (375086.4068125443 761618.6630135406),11.0,15.491784436409121,36.381751308571104,3544.6170352945132,128959.37546220959,1.0
OUT_04846,Small,1,Pharmacy,6.92608,79.86758,3594.025129514586,29.232731757081947,DIST_W_03,POINT (374895.50668400293 765726.3786725928),12.0,23.528177204321064,26.500134705708632,3564.7923977575037,94467.47873845992,1.0
OUT_05623,Small,1,Bakery,6.890507,79.865245,3594.025129514586,41.49667579447815,DIST_W_01,POINT (374628.14293824334 761793.7835771121),11.0,16.692700879490047,33.91228982430486,3552.528453720108,120474.37453164588,1.0
OUT_05736,Medium,2,Hotel,6.942236,79.852959,3594.025129514586,124.95304340147743,DIST_W_01,POINT (373284.35507505864 767516.5889921194),9.0,12.152372680911068,38.01595439320876,3469.0720861131085,131880.0862124295,1.0
OUT_06153,Small,0,Eatery,6.881668,79.860748,3594.025129514586,37.76922391102917,DIST_W_02,POINT (374128.9039487565 760817.6617522599),6.0,14.740881469250475,22.235095327013205,3556.2559056035566,79073.68906834876,1.0
OUT_06433,Medium,1,SMMT,6.917371,79.862864,3594.025129514586,95.19373893822092,DIST_W_03,POINT (374372.13476174197 764764.6913775748),15.0,25.895600544475485,29.7446416441638,3498.831390576365,104071.48588604528,1.0
OUT_06485,Small,0,Eatery,6.889414,79.864383,3594.025129514586,40.540486781690355,DIST_W_02,POINT (374532.606471595 761673.160003069),10.0,16.729001799207857,31.022615160689664,3553.4846427328953,110238.38655092342,1.0
OUT_06602,Small,0,SMMT,6.920328,79.848678,3594.025129514586,24.512328775533465,DIST_W_01,POINT (372805.48848643014 765095.4114080225),12.0,15.685191298006188,38.9567004891141,3569.512800739052,139056.44107045006,1.0
OUT_06933,Medium,1,Hotel,6.867926,79.884834,3594.025129514586,128.50358599762362,DIST_W_01,POINT (376786.85526254715 759291.9832145043),12.0,15.572965501856594,39.220500394282695,3465.521543516962,135919.48906390218,1.0
OUT_07151,Small,0,Bakery,6.937712,79.848792,3594.025129514586,47.21351462788699,DIST_W_03,POINT (372822.74423514924 767017.4952881426),9.0,15.740449627644546,29.867776022832683,3546.811614886699,105935.3749086174,1.0
OUT_07302,Medium,1,Eatery,6.938857,79.854341,3594.025129514586,125.82049131885175,DIST_W_03,POINT (373436.1441025394 767142.6109000847),8.0,15.860259884066776,26.689980053347657,3468.204638195734,92566.31261437197,1.0
OUT_07440,Medium,2,Eatery,6.908463,79.857466,3594.025129514586,140.44954619710285,DIST_W_01,POINT (373773.3362117894 763781.1842864726),16.0,20.488617258155593,39.55582575595453,3453.575583317483,136609.03400872537,1.0
OUT_07577,Small,0,Kiosk,6.880119,79.876622,3594.025129514586,44.87933197099893,DIST_W_03,POINT (375882.57350466267 760642.2434200287),11.0,14.343091140035035,39.10554884435301,3549.145797543587,138791.29434157096,1.0
OUT_07600,Large,5,Eatery,6.920163,79.875047,3594.025129514586,531.6992190789481,DIST_W_03,POINT (375718.98155172874 765070.1935902926),15.0,21.873496894535826,34.97497578479613,3062.3259104356375,107104.77456264019,1.0
OUT_08169,Small,0,Bakery,6.922674,79.870881,3594.025129514586,49.76588299350774,DIST_W_02,POINT (375259.3371845286 765348.9187834349),17.0,23.891840535069267,36.15642638928289,3544.2592465210782,128147.7485513746,1.0
OUT_08605,Small,0,Bakry,6.920273,79.869293,3594.025129514586,42.40552161861505,DIST_W_01,POINT (375083.24746344966 765083.8640156429),16.0,25.863004095198868,31.642030689781176,3551.6196078959706,112380.45663147289,1.0
OUT_08637,Small,1,Bakery,6.869372,79.883365,3594.025129514586,42.3425548647902,DIST_W_01,POINT (376624.90009166475 759452.2404169063),12.0,15.549899416276562,39.27516316870998,3551.6825746497957,139492.91264283468,1.0
OUT_08677,Small,0,Hotel,6.876865,79.858717,3594.025129514586,42.01510492835701,DIST_W_02,POINT (373903.2112218765 760287.1416657415),8.0,11.956800037731144,34.73079762669543,3552.0100245862286,123364.14133189776,1.0
OUT_08953,Small,0,Bakery,6.93551,79.8668,3594.025129514586,35.932262496801776,DIST_W_01,POINT (374811.8136811114 766769.2342472309),9.0,15.361607924117946,30.559343697691922,3558.092867017784,108732.98283150251,1.0
